nome,sku,quantidade,total,porcentagem_das_vendas
"Tônico facial LANEIGE Cream Skin Cerapeptide Refiner 170ml",CZPQ7NAPQ,1,202.93,0.03
"Gel de limpeza facial Cosrx Low PH Good Morning Gel Cleanser 50ml",Z858L3QG6,1,105.72,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 33C (Hazel)",DN24882C6,1,239.94,0.04
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 17C (Porcelana)",XHYA2WUL8,1,252.54,0.04
"Tônico facial de arroz preto Haruharu Wonder Black Rice Hyaluronic Toner Fragrance Free 150ml e 300ml Tônico sem perfume (300ml)",3C2FRRDXC,1,173.88,0.03
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 34C (Amber)",EGUH9XZUC,1,279.9,0.04
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Snail",9MP496RQL,1,0,0
"Máscara facial Mediheal Retinol Collagen Ampoule Lifting Contour Mask Cream e Ampoule Cream Contour Mask",FBQFK25BV,1,98.9,0.01
"Creme hidratante facial calmante SKIN1004 Madagascar Centella Tea-Trica B5 Cream 75ml",MSB7RUYAY,1,236.9,0.04
"Tônico Mixsoon Soondy Centella Asiatica Essence 50ml",RPXFUPJDD,1,113.94,0.02
"Tônico facial Cosrx Centella Water Alcohol-Free Toner 150ml",BL4T6TP5Z,1,169,0.03
"Creme facial hidratante corretor de cor Dr. Jart+ Cicapair  Tiger Grass Color Correcting Treatment SPF 30 15ml",QPS6FJFV5,1,259.9,0.04
"Espuma de limpeza facial calmante Laneige Phyto-Alexin Hydrating & Calming Cleanser 50g e 150g 50g",BLU8LFFD4,1,120,0.02
"Máscara labial e facial noturna Laneige Lip Sleeping Mask Mint Choco 20g",ZQQQRN9XF,1,119.2,0.02
"Óleo de limpeza facial Missha Super Off Cleansing Oil Blackhead Dust e Dryness Off Blackhead Off",2UBQ343JA,1,200,0.03
"Tônico facial Mediheal Toner Pads 170ml Verde - Teatree trouble",A99MAKTCC,1,299,0.05
"Tônico facial de colágeno Biodance Bio Collagen Gel e Hydro Cera-Nol Gel Toner Pads 140gx60 Cera-nol",6XGE5CH2T,1,315,0.05
"Creme facial calmante Purito Seoul Wonder Releaf Centella Cream Unscented 50ml",KSPKTTHKM,1,230,0.03
"Creme facial para poros Medicube Zero Pore Cream 2.0 50ml",KNWY9ND24,1,279.93,0.04
"Lip Tint Romand Juicy Lasting Tint 5.5g 18",SFZ9G7MUF,1,89,0.01
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 23N Sand",9CWKHEF6Y,1,296,0.04
"Tônico facial Hanyul Pure Artemisia Calming pH Balancing Toner 150ml",BMWTN38U5,1,259.9,0.04
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 19N Nude Beige",9VV4XMFEX,1,299.8,0.05
"Tônico facial Beauty of Joseon Green Plum Refreshing Toner AHA+BHA 150ml",TWUREUKGE,1,239.8,0.04
"Sérum facial para poros Medicube Zero Pore Serum 2.0 37ml",3DNQ9FHMG,1,230.93,0.03
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 37C (Almond)",Y8NPKDSUY,1,370.9,0.06
"Capa de proteção UV para melasma e acne Care Plus Spot e Scar Cover Patch Pack c/ 216 unidades",5567UBWPP,1,315,0.05
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 21N Ivory",FKU32WDWC,1,300,0.05
"Sérum facial Isntree Onion Newpair Booster Shot 2000 50ml",GT5YXQT6F,1,260,0.04
