nome,sku,quantidade,total,porcentagem_das_vendas
"Creme facial SKIN1004 Madagascar Centella Probio-Cica Enrich Cream 50ml",EDHHKF5ZV,10,2759.82,0.42
"Loção hidratante facial Anua Heartleaft 70% Daily Lotion 200ml",ZMMLLYNWA,10,2049.38,0.31
"Sérum p/ olhos redutor de olheiras AXIS-Y Vegan Collagen Eye Serum 10ml",2NZACRY22,10,2723.09,0.41
"Protetor solar líquido Numbuzin Nº1 Clear Filter Sun Essence SPF50+ PA++++ 50ml",3SCXKLFAB,9,1703.2,0.26
"Sérum facial AXIS-Y Dark Spot Correcting Glow Serum 50ml",DUKWQK82V,9,1695.91,0.26
"Tônico facial Anua Heartleaf 77% Soothing Toner 500ml",NJM7BEQ28,9,2799.6,0.42
"Tônico facial Anua Heartleaf 77% Clear Toner Pad 160ml",XHU3CVZWT,9,1954.9,0.3
"Kit Teste TIRTIR Mask Fit Red Cushion Foundation Cushion com 1g 6 sachês Light Medium (21C á 24W)",R6J87E6V4,9,1430.32,0.22
"Sérum para cílios Etude House My Lash Serum 18g",CDKDDM2TT,9,968.88,0.15
"Sérum de retinol Medicube Retinol NMN Boosting Serum 30ml",9KQEGZUP9,9,3392.13,0.51
"Tônico facial clareador com glutationa Medicube Glutathione Glow Toner 140ml",V54Q49HN8,8,2502.91,0.38
"Creme hidratante facial Some by Mi AHA BHA PHA 30 Days Miracle Cream 50ml",CKPM94AYY,8,1559.6,0.24
"Importação Xpress (Receba antes dos 50 dias úteis)",H7YBR3ZAQ,8,1200,0.18
"Óleo de limpeza facial Numbuzin nº 1 Easy Peasy Cleansing Oil 200ml",HLASSP643,8,1633.3,0.25
"Tônico facial clareador com glutationa Medicube Glutathione Glow Toner 140ml",V54Q49HN8,8,2502.91,0.38
"Creme hidratante facial Some by Mi AHA BHA PHA 30 Days Miracle Cream 50ml",CKPM94AYY,8,1559.6,0.24
"Protetor solar em bastão Abib Quick Sunstick Protection Bar SPF50+ PA++++",N56HGXTNR,8,1745.3,0.26
"Creme hidratante facial NEOGEN High R Exosome Cream 40ml",C6BVWLF5R,8,1554.55,0.24
"Sérum facial com retinal Celimax The Vita-A Retinal Shot Tightening Booster 15ml",YAHFXZ6NE,8,1739.42,0.26
"Ampola Facial SKIN1004 Madagascar Centella Probio-Cica Intensive Ampoule 100ml",GGY86NS8C,8,2419.2,0.37
"Óleo de limpeza facial Manyo Pure Cleansing Oil 200ml",Z36AHQT4R,7,1444.32,0.22
"Sérum facial de niacinamida ANUA Peach 70 Niacin Serum 30ml",RJX542CZJ,7,1579.14,0.24
"Kit Shampoo Condicionador e Máscara capilar Mise En Scene Perfect Serum 680mlx330ml Kit completo",2YGBTQ6RM,7,5314.2,0.8
"Creme p/ olhos e rosto com Vitamina C Goodal Green Tangerine Vita C Cream 40ml",TA2ZBGUFF,7,667.67,0.1
"Primer Dr. G Pore Blur Up Sun SPF 50+ PA++++ 50ml",T3VTFBP84,7,1184.94,0.18
"Pó de limpeza facial de Arroz e Ceramidas Anua Rice Enzyme Brightening Cleansing Powder 40g",HQT74LD7T,7,2099.23,0.32
"Creme p/ olhos com PDRN e peptídeos Medicube PDRN Pink Peptide Eye Cream 30ml",9ND9STSGV,7,1444.2,0.22
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 21N (Marfim)",EH56SJWAQ,7,2443.76,0.37
"Sérum facial SKIN1004 Madagascar Centella Hyalu-Cica Blue Serum 50ml",G5Y665XL5,7,1578.8,0.24
"Gel de limpeza facial Cosrx Low PH Good Morning Gel Cleanser 150ml",MMRNN4STS,7,1265.66,0.19
"Creme hidratante facial History of Whoo Gongjinhyang Soo Vital Hidrating Cream 50ml",T6V8VEYZW,7,3839.36,0.58
"Dispositivo removedor de cravos e espinhas ILSO Deep Clean Master Blackhead Remover Tool",HYW4AXS32,7,1445.25,0.22
"Máscara facial de arroz I'm From Rice Mask 110g",8M3RAYC6Z,7,1425,0.22
"Sérum facial de peptídeos Medipeel Peptide9 Volume Bio Tox Ampoule Pro 100ml",HW488757F,7,1928.7,0.29
"Creme p/ olhos com Ácido Tranexâmico Mary&May Tranexamic Acid+Glutathion Eye Cream 12ml",8KXTTB26U,7,819.8,0.12
"Sérum facial calmante com ácido azeláico Medicube Azelaic Acid 16 BB Calming Serum 30ml",CP5SCQB7Z,7,2303,0.35
"Máscara facial de colágeno Medicube Collagen Lifting Mask 30g 3 unidades",LSL85MWJU,7,1050,0.16
"Sérum facial The Ordinary Retinol 1% in Squalane 30ml",B6NCJSZ44,6,1195.6,0.18
"Tônico facial Numbuzin Nº 3 Super Glowing Essence Toner 200ml",3QNUNJ2HV,6,1335.13,0.2
"Protetor solar Missha All-Around Safe Block Sunscream SPF45/50 Pa+++ 50ml e 70ml Soft Finish",6QTH3RT9X,6,1005.6,0.15
"Bálsamo de limpeza facial House of Hur Purifying Cleansing Balm 50ml",GPSR5SNTU,6,1221.2,0.18
"Máscara capilar reparadora Shiseido Tsubaki Premium Repair Mask 180g",TSPSXDTLG,6,1376.08,0.21
"Sérum facial com PDRN Anua PDRN Hyaluronic Capsule 100+ Serum 30ml",K365E6V44,6,2100,0.32
"Creme facial Cosrx Hydrium Moisture Power Enriched Cream 50ml",69XVAAEJG,6,1382.4,0.21
"Bruma facial clareadora com PDRN Medicube PDRN Pink Glutathione Serum Mist 100ml",2LTLDZ78M,6,1566,0.24
"Máscara facial Missha Airy Fit Sheet Mask Arroz (Rice)",JZ9A338FF,6,299.4,0.05
"Sabonete facial Shiseido Senka Perfect Whip Foam 120g",7NS8G7LD7,6,1029.45,0.16
"Sérum facial com Vitamina C Beauty of Joseon Light On Serum Centella + Vita C 30ml",4ZR79DZV8,6,1125.06,0.17
"Sérum facial com microagulhamento e colágeno Medicube PDRN Pink Collagen Exosome Shot Ampoule 2000 e 7500 30ml 2000ppm",PZDFKRVJJ,6,2148.56,0.33
"Máscara facial de colágeno Medicube Collagen Lifting Mask 30g 1 unidade",S8J8PZRWR,6,267,0.04
"Ampola Facial SKIN1004 Madagascar Centella Tea-Trica Relief Ampoule 100ml 100ml",4G5SSZEQ7,6,1798.8,0.27
"Sérum facial para manchas com ácido tranexâmico Medicube TXA Niacinamide 15 Serum 30ml",C8BBJ32RJ,6,2092.82,0.32
"Sérum facial para melasma e rugas MEDI-PEEL Melanon X Ampoule Serum 50ml",Z4CN8K4GZ,6,1452.6,0.22
"Sérum facial VT Cosmetics Reedle Shot 100 Essence 50ml",ACPTEB3L5,6,1054.2,0.16
"Sérum facial Medicube Age-R Booster Gel 100ml",M2CR57BCZ,6,1734,0.26
"Protetor solar físico SKIN1004 Madagascar Centella Air-Fit Suncream 50ml",2CKDMNKMQ,6,1135.96,0.17
"Bálsamo de limpeza facial Dr.Althea Pure Grinding Cleansing Balm 50ml",EX9YC95YS,6,1463.8,0.22
"Sérum facial com PDRN Genabelle PDRN Vita Toning Ampoule 30ml",J5B74QPZT,6,1623.44,0.25
"Sérum facial de cafeina The Ordinary Caffeine Solution 5% + EGCG 30ml",A3GAHTZCK,5,1095,0.17
"Espuma de limpeza facial para acne SKIN1004 Madagascar Centella Tea-Trica BHA Foam 125ml",TTAZKBKQG,5,1172.3,0.18
"Máscara facial calmante Farmstay Cica Farm Regenerating Calming Mask 25ml 5 unidades",XEED9J6B3,5,426.88,0.06
"Protetor solar em bastão Celimax Oil Control Mattifying Sun Stick SPF/PA++++ 50+ 19g",BYTBEEBXE,5,859.57,0.13
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Ceramide",XZMMKUXWD,5,62.99,0.01
"Máscara de LED Project E Beauty Lumamask Pro LED Light Therapy Face Mask",YX7W3V99V,5,16000,2.42
"Tônico facial para pele sensível SKIN1004 Madagascar Centella Quick Calming Toner Pad 70 Pads",BAUF8JKRK,5,1489.5,0.23
"Creme p/ olhos clareador e anti rugas Medi-Peel Peptide 9 Shrink Lif-Tox Eye Cream 20ml",AXFF9VUVE,5,1149.5,0.17
"Máscara facial Biodance Hydro Cera-Nol Real Deep Mask Sheet 3 unidades",B9QCTFWUA,5,949.66,0.14
"Balm Multifuncional Kahi Seoul Wrinkle Bounce Multi Balm 9g",HWQ9RPAR2,5,848.68,0.13
"Tônico facial para poros e cravos COSRX BHA Blackhead Power Liquid Essence 100ml",UKJ3THZZ8,5,1239.19,0.19
"Shampoo e tratamento LABO-H Scalp Strengthening Hair Loss e Scalp Capsule Treatment 400mlx200ml",PAERHBNQS,5,2180,0.33
"Base BB Cream Missha M Perfect Cover 50ml Nº 13 - Bege brilhante",CBWT99ZR3,5,808.62,0.12
"Tônico facial Cosrx Full Fit Propolis Synergy Toner 280ml",FS6YUEJTC,5,1440,0.22
"Máscara p/ olhos de retinol Mediheal Retinol Collagen Eye Patch",S8W2FFGBR,5,945,0.14
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Collagen",ZAMSWWDSR,5,66,0.01
"Sérum amaciador de cravos ILSO Super Melting Serum Softener Pack Especial 150ml",W8RDJN4E6,5,1124.9,0.17
"Sérum de peptídeos MEDI-PEEL Peptide 9 Volume Essence 100ml Peptide 9 Volume Lifting",GNBZ8CZUR,5,1377.6,0.21
"Kit Teste TIRTIR Mask Fit Red Cushion Foundation Cushion com 1g 6 sachês Medium (25N á 31N)",GVY6VRHC3,5,896,0.14
"Sérum facial com retinal Celimax The Vita-A Retinol Shot Tightening Serum 30ml",4ZMW39AWH,5,1256.4,0.19
"Tônico facial Numbuzin Nº1 Centella Re-leaf Green Essence Toner Pad",5MHLW65YZ,5,1219.88,0.18
"Tônico facial de arroz I'm from Rice Toner Pad 60 pads",MBG8F2X7G,5,1499.95,0.23
"Sérum facial com peptídeos e bakuchiol EQQUALBERRY Bakuchiol Plumping Serum 30ml",2AHW8XZC2,5,1160.57,0.18
"Óleo de limpeza facial clareador Numbuzin Nº5+ Glutathione C Facial Spa Cleanser 200ml",N7DGUEMDY,5,1499.5,0.23
"Protetor solar Missha All-Around Safe Block Sunscream SPF45/50 Pa+++ 50ml e 70ml Cotton 50",MZ78ULF9Y,5,327.98,0.05
"Máscara facial Biodance Hydro Cera-Nol Real Deep Mask Sheet 1 unidade",3TQUAGPMS,5,432,0.07
"Ampola Facial SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 50ml",NF36BPMQL,5,1108.6,0.17
"Tônico facial Numbuzin Nº4 Pore Zero Peeled Egg Essence Toner Pad",BXN9G4KEE,5,1374.85,0.21
"Espuma de limpeza facial ANUA Heartleaf Succinic Moisture Cleansing Foam 150ml",GRL2MCLEZ,5,1080,0.16
"Dispositivo de tratamento facial Medicube Age-R Booster H",FZMSEJB33,5,14262.8,2.16
"Sérum de peptídeos MEDI-PEEL Peptide 9 Volume Essence 100ml Volume Essence All in One",CG3R4YXGY,5,1347.6,0.2
"Creme hidratante facial calmante Some By Mi Propolis B5 Glow Barrier Calming Cream 60g",NZ3WWRYVV,4,1099.88,0.17
"Protetor solar facial líquido Supergoop Unseen e Glow Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++ Glow",PN97K5W72,4,905.4,0.14
"Tônico facial calmante Abib Heartleaf Spot Toner Pad",9BP4ZKJ8U,4,1099.87,0.17
"Sérum facial com microagulhamento VT Cosmetics Sangue de Dragão Red Booster Reedle Shot 100/300/700 50ml 300",X7AUGMFMC,4,1800,0.27
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 17C Porcelain",6D7H9U972,4,1199.2,0.18
"Tônico facial calmante Some By Mi Propolis B5 Glow Barrier Calming Toner 150ml",TQ7ELDMHR,4,740.28,0.11
"Base BB Cream Missha M Perfect Cover 50ml Nº 21 - Bege claro",72P3ZQFSY,4,599.6,0.09
"Protetor solar líquido com ácido hialurônico Instree Hyaluronic Acid Watery Sun Gel 50ml",DXU6QWNXN,4,582.66,0.09
"Tônico facial TIRTIR Milk Skin Toner Original e Light 150ml Original",WHBXYPNXX,4,960,0.15
"Sérum facial The Ordinary Niacinamida 10% + Zinco 1% 30ml",6TMUY4QPM,4,633.02,0.1
"Tônico Mediheal Toner Pads Turquesa - Madecassoside blemish",NP93HRNZY,4,928.2,0.14
"Sérum com Vitamina C Anua Green Lemon Vita C Blemish Serum 20ml",KZ23X3LLC,4,1089.7,0.16
"Tônico facial clareador com vitamina c Abib Glutathiosome Dark Spot Pad 60 pads 220ml",HYUPFZR9H,4,1200,0.18
"Tônico facial Mediheal Toner Pads 170ml Rosa - Collagen Ampoule",SN4CFWTM5,4,1147,0.17
"Base BB Cream Missha M Perfect Cover 50ml Nº 23 - Bege natural",Q22B8ELXV,4,666.8,0.1
"Tônico Mediheal Toner Pads Marrom - Retinol Collagen Lifting",VVH5TXF8A,4,1118,0.17
"Máscara p/ olhos de mucina de caracol COSRX Advanced Snail Hydrogel Eye Patch",W3U2REUWQ,4,799.99,0.12
"Protetor solar líquido facial Haruharu Wonder Black Rice Moisture Airyfit Pure Mineral Relief Daily 50ml Black Rice Moisture Airyfit",FRBD8JBEN,4,677.46,0.1
"Sérum facial e Mist d'Alba White Truffle First Spray Serum 100ml",BSY3UHXD2,4,1034.62,0.16
"Sérum facial I'm From Rice 30ml",XSDT9P72U,4,773.3,0.12
